ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
816;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
817;17-20 years;Female;Private;50-59%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;";No
818;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
819;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
820;26 +;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
821;24-26 years;Male;Private;60-69%;Part-time student;Information Technology;90-100%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
822;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
823;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
824;24-26 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
825;21-23 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
826;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
827;17-20 years;Female;Private;80-89%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
828;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
829;21-23 years;Female;Private;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
830;21-23 years;Female;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
831;21-23 years;Female;Private;80-89%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
832;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
833;21-23 years;Male;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
834;21-23 years;Female;Private;80-89%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
835;21-23 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
836;24-26 years;Female;State/Public;60-69%;Part-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
837;24-26 years;Female;Private;50-59%;Part-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
838;21-23 years;Male;State/Public;40-49%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
839;21-23 years;Female;Private;50-59%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
840;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";No
841;21-23 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
842;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
843;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
844;17-20 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
845;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
846;17-20 years;Male;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
847;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
848;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
849;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
850;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
851;17-20 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
852;21-23 years;Male;Private;80-89%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
853;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
854;21-23 years;Male;Semi-private;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
855;21-23 years;Female;Private;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
856;21-23 years;Female;State/Public;40-49%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
857;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
858;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
859;26 +;Female;State/Public;60-69%;Part-time student;Information Technology;60-69%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
860;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
861;17-20 years;Female;State/Public;40-49%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
862;21-23 years;Female;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
863;21-23 years;Male;Private;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
864;17-20 years;Male;State/Public;40-49%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
865;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
866;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
867;21-23 years;Female;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
868;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
869;21-23 years;Male;Private;60-69%;Full-time student;Arts and Humanities;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
870;21-23 years;Male;Private;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
871;;;;;;;;;;
872;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
873;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
874;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
875;26 +;Male;State/Public;60-69%;Part-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
876;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";Yes
877;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
878;17-20 years;Male;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
879;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
880;21-23 years;Male;Private;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
881;17-20 years;Female;Private;50-59%;Full-time student;Applied Sciences;50-59%;20 - 30 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
882;17-20 years;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
883;26 +;Male;State/Public;60-69%;Part-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
884;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
885;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
886;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
887;26 +;Male;State/Public;80-89%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
888;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
889;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"A location or place where you may study;";Yes
890;17-20 years;Female;State/Public;70-79%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";No
891;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
892;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
893;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
894;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
895;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
896;;;;;;;;;;
897;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
898;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
899;21-23 years;Female;Private;40-49%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
900;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
901;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
902;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
903;21-23 years;Male;State/Public;60-69%;Part-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
904;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
905;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
906;21-23 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
907;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
908;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
909;21-23 years;Male;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;";No
910;21-23 years;Male;Private;50-59%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
911;17-20 years;Male;Private;40-49%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
912;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
913;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
914;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
915;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
916;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
917;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
918;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
919;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;";Yes
920;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
921;17-20 years;Male;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
922;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
923;21-23 years;Male;home school;70-79%;Part-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
924;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
925;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
926;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
927;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
928;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
929;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
930;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
931;21-23 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
932;24-26 years;Male;Private;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;";No
933;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
934;26 +;Male;State/Public;50-59%;Part-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
935;17-20 years;Female;Private;40-49%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
936;21-23 years;Male;State/Public;60-69%;Part-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
937;17-20 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
938;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
939;21-23 years;Male;State/Public;40-49%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
940;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
941;17-20 years;Female;Independent;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
942;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
943;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
944;24-26 years;Male;Private;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
945;17-20 years;Male;State/Public;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
946;17-20 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
947;;;;;;;;;;
948;21-23 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"A location or place where you may study;";No
949;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
950;17-20 years;Female;Private;40-49%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"A location or place where you may study;";Yes
951;24-26 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;";No
952;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
953;17-20 years;Female;Private;50-59%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";Yes
954;;;;;;;;;;
955;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
956;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
957;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
958;17-20 years;Male;Private;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
959;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
960;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
961;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
962;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
963;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
964;21-23 years;Male;Private;70-79%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
965;17-20 years;Male;Private;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
966;21-23 years;Male;Private;70-79%;Part-time student;Information Technology;90-100%;30+ hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";No
967;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
968;17-20 years;Male;Private;40-49%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
969;21-23 years;Female;Homeschool;70-79%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
970;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"A location or place where you may study;";No
971;21-23 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
972;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
973;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
974;24-26 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;";No
975;17-20 years;Female;Private;40-49%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
976;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
977;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;90-100%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
978;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
